Gene_ID	Status	Uniprot_ID_Insecta	Percent_Identical	E_score	GO_Tag	GO_Category	GO_Name	Species	Manduca_Protein_Name	Manduca_Protein_ID	Insecta_Protein_Name
LOC101738948	Pass:	A0A6J2K4P9	100	0	GO:0006813	P	potassium ion transport	Bombyx mandarina	BTB domain-containing protein	NA	NA
LOC101741077	Pass:	A0A8R2C7N0	100	0	GO:0016020	C	membrane	Bombyx mori	Phospholipid-transporting ATPase	NA	NA
LOC101737919	Pass:	A0A8R2R008	98.622	0	GO:0005635	C	nuclear envelope	Bombyx mori	Nesprin-1	NA	NA
LOC732883	Pass:	A0A6J2KI35	100	0	GO:0005634	C	nucleus	Bombyx mandarina	Transcriptional adapter 3	NA	NA
LOC101744752	Pass:	A0A8J9V3E3	89.919	0	GO:1990904	C	ribonucleoprotein complex	Brenthis ino	H/ACA ribonucleoprotein complex subunit 4	NA	NA
LOC101739050	Pass:	A0A6J2JC31	100	0	GO:0071805	P	potassium ion transmembrane transport	Bombyx mandarina	G protein-activated inward rectifier potassium channel 3-like isoform X3	NA	NA
Dsx	Pass:	Q9GR95	99.242	0	GO:0003677	F	DNA binding	Bombyx mori	DM domain-containing protein	NA	NA
LOC101739070	Pass:	A0A8R2M7L1	99.032	0	GO:0006811	P	monoatomic ion transport	Bombyx mori	Ryanodine receptor	NA	NA
LOC101741638	Pass:	A0A821NSJ4	84.667	0	GO:0030215	F	semaphorin receptor binding	Pieris macdunnoughi	Sema domain-containing protein	NA	NA
LOC105842447	Pass:	A0A8B8I7K1	74.962	0	GO:0004888	F	transmembrane signaling receptor activity	Vanessa tameamea	G-protein coupled receptors family 2 profile 2 domain-containing protein	NA	NA
LOC119630621	Pass:	A0A8R2R568	98.907	0	GO:0015074	P	DNA integration	Bombyx mori	RNA-directed DNA polymerase	NA	NA
LOC101739826	Pass:	A0A7E5W0H3	66.203	0	GO:0003723	F	RNA binding	Trichoplusia ni	CCR4-NOT transcription complex subunit 4	NA	NA
LOC101737533	Pass:	A0A8R2M2K6	99.615	0	GO:0043130	F	ubiquitin binding	Bombyx mori	E3 ubiquitin-protein ligase UBR5	NA	NA
LOC101739095	Pass:	A0A8B8HQE6	82.48	0	GO:0016310	P	phosphorylation	Vanessa tameamea	Serine/threonine-protein kinase RIO1	NA	NA
LOC101741108	Pass:	A0A8S1BN26	93.015	0	GO:0042555	C	MCM complex	Arctia plantaginis	DNA replication licensing factor MCM6	NA	NA
LOC101740690	Pass:	A0A6J2K5Z3	99.809	0	GO:0006412	P	translation	Bombyx mandarina	Tyrosine--tRNA ligase	NA	NA
LOC101736355	Pass:	A0A6J2K7F3	96.2	0	GO:0008236	F	serine-type peptidase activity	Bombyx mandarina	Serine protease K12H4.7	NA	NA
LOC101736616	Fail:	A0A6J2KVU9	45.322	7.11e-154	GO:0055085	P	transmembrane transport	Bombyx mandarina	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101743411	Pass:	A0A2H1WHX9	90.46	0	GO:0016020	C	membrane	Spodoptera frugiperda	SFRICE_007769	NA	NA
serpin-3	Pass:	A0A6J2KIU3	97.514	0	GO:0005576	C	extracellular region	Bombyx mandarina	Serpin domain-containing protein	NA	NA
LOC101739321	Pass:	A0A2A4KAC5	81.47	0	GO:0004672	F	protein kinase activity	Heliothis virescens	Protein kinase domain-containing protein	NA	NA
LOC101745942	Pass:	A0A6J2JSV5	98.281	0	GO:0008284	P	positive regulation of cell population proliferation	Bombyx mandarina	Focal adhesion kinase 1 isoform X4	NA	NA
LOC101735468	Pass:	A0A6J2KI93	99.574	0	GO:0006955	P	immune response	Bombyx mandarina	TIR domain-containing protein	NA	NA
GSTd3	Pass:	A0A8R2R5J1	82.55	0	GO:0003677	F	DNA binding	Bombyx mori	Glutathione S-transferase 1-1-like	NA	NA
LOC101737934	Pass:	A0A8R2AJL4	100	0	GO:0015293	F	symporter activity	Bombyx mori	Transporter	NA	NA
LOC101739823	Pass:	A0A8J2QEX1	94.518	0	GO:0000166	F	nucleotide binding	Danaus chrysippus	RuvB-like helicase	NA	NA
LOC101735454	Pass:	A0A8R2LVD4	100	0	GO:0003723	F	RNA binding	Bombyx mori	RRM domain-containing protein	NA	NA
serpin-9	Fail:	A0A8S0Z9G1	57.398	1.1499999999999998e-157	GO:0005615	C	extracellular space	Arctia plantaginis	Serpin domain-containing protein	NA	NA
LOC101740608	Pass:	A0A6J2KJP7	99.812	0	GO:0006811	P	monoatomic ion transport	Bombyx mandarina	Sodium/hydrogen exchanger	NA	NA
LOC101738903	Pass:	A0A8R2C8L4	100	0	GO:0016020	C	membrane	Bombyx mori	acetyl-CoA carboxylase	NA	NA
LOC101739080	Pass:	A0A8R2M5Q8	100	0	GO:0005524	F	ATP binding	Bombyx mori	DNA ligase	NA	NA
LOC101736643	Pass:	A0A8S3Y5I5	92.427	0	GO:0005524	F	ATP binding	Parnassius apollo	Myosin heavy chain, non-muscle	NA	NA
LOC101743689	Pass:	A0A8B8HKM1	82.907	0	GO:0140359	F	ABC-type transporter activity	Vanessa tameamea	Multidrug resistance-associated protein 4-like	NA	NA
LOC101743427	Pass:	A0A6J2KM66	99.028	0	GO:0005524	F	ATP binding	Bombyx mandarina	non-specific serine/threonine protein kinase	NA	NA
LOC692903	Fail:	A0A8R2C9E4	100	4.66e-177	GO:0005525	F	GTP binding	Bombyx mori	Ras-related protein Rab	NA	NA
LOC692970	Fail:	A0A0S2MU10	98.592	4.559999999999999e-158	GO:0000166	F	nucleotide binding	Spodoptera frugiperda	GTP-binding nuclear protein	NA	NA
mal	Pass:	A0A7E5W908	67.904	0	GO:0008265	F	Mo-molybdopterin cofactor sulfurase activity	Trichoplusia ni	Molybdenum cofactor sulfurase	NA	NA
LOC101745781	Pass:	A0A2A4J1V6	88.235	0	GO:0005743	C	mitochondrial inner membrane	Heliothis virescens	Mitochondrial glycine transporter	NA	NA
LOC101744080	Pass:	A0A8S0ZGE1	88.344	0	GO:0003777	F	microtubule motor activity	Arctia plantaginis	Kinesin-like protein	NA	NA
LOC101745381	Pass:	A0A8J2R265	98.525	0	GO:0006813	P	potassium ion transport	Danaus chrysippus	BTB domain-containing protein	NA	NA
RpS9	Fail:	E7DYZ5	99.485	7.43e-137	GO:0003723	F	RNA binding	Euphydryas aurinia	40S ribosomal protein S9	NA	NA
LOC119628444	Pass:	A0A8S0YN67	67.168	0	GO:0006278	P	RNA-templated DNA biosynthetic process	Arctia plantaginis	RNA-directed DNA polymerase	NA	NA
Ck2a	Pass:	Q59HV9	100	0	GO:0016301	F	kinase activity	Bombyx mori	Protein kinase domain-containing protein	NA	NA
LOC692983	Fail:	A0A7E5VKF1	85.338	2.8899999999999993e-169	GO:0005524	F	ATP binding	Trichoplusia ni	uridine/cytidine kinase	NA	NA
LOC101737589	Pass:	A0A6J3C075	68.757	0	GO:0005694	C	chromosome	Galleria mellonella	DNA replication ATP-dependent helicase/nuclease	NA	NA
GSTd2	Fail:	A0A6C0W950	86.385	4.8899999999999994e-133	GO:0016740	F	transferase activity	Ostrinia furnacalis	Glutathione S-transferase delta 2	NA	NA
ND6	Fail:	X5IYB8	99.432	1.01e-114	GO:0005739	C	mitochondrion	Bombyx mori	NADH dehydrogenase subunit 6	NA	NA
LOC101737944	Pass:	A0A6J2J9R8	96.097	0	GO:0016301	F	kinase activity	Bombyx mandarina	Diacylglycerol kinase	NA	NA
LOC101735614	Pass:	A0A8R2LZF2	97.093	0	GO:0007155	P	cell adhesion	Bombyx mori	Down syndrome cell adhesion molecule-like protein Dscam2	NA	NA
LOC101745214	Pass:	A0A2A4J157	67.285	0	GO:0003887	F	DNA-directed DNA polymerase activity	Heliothis virescens	RNA-directed DNA polymerase	NA	NA
Ethr	Pass:	Q32XW8	77.143	0	GO:0016020	C	membrane	Manduca sexta	Thyrotropin-releasing hormone receptor	NA	NA
LOC101740441	Pass:	A0A8R2DN53	100	0	GO:0070588	P	calcium ion transmembrane transport	Bombyx mori	Transient receptor potential protein	NA	NA
LOC101736902	Pass:	A0A8J2QDN5	77.412	0	GO:0016787	F	hydrolase activity	Danaus chrysippus	Metalloendopeptidase	NA	NA
LOC101737222	Pass:	A0A8S4G1P0	72.887	0	GO:0016020	C	membrane	Plutella xylostella	Scavenger receptor class B member 1	NA	NA
LOC101739040	Pass:	A0A8R2M5Z8	100	0	GO:0006468	P	protein phosphorylation	Bombyx mori	Protein kinase domain-containing protein	NA	NA
LOC101742411	Pass:	A0A6J2JR19	99.751	0	GO:0035091	F	phosphatidylinositol binding	Bombyx mandarina	Sorting nexin	NA	NA
LOC101745746	Pass:	A0A6J2KPK7	100	0	GO:0006355	P	regulation of DNA-templated transcription	Bombyx mandarina	Histone deacetylase interacting domain-containing protein	NA	NA
LOC101746051	Fail:	A0A194QGJ9	92.063	7.259999999999999e-126	GO:0020037	F	heme binding	Papilio xuthus	Globin family profile domain-containing protein	NA	NA
LOC101737909	Pass:	A0A7E5VUK0	85.125	0	GO:0016020	C	membrane	Trichoplusia ni	G-protein coupled receptor 158	NA	NA
Gal	Pass:	A0A2A4K6E1	86.526	0	GO:0006541	P	glutamine metabolic process	Heliothis virescens	CAD protein	NA	NA
LOC101735646	Pass:	A0A7I0ZZB7	77.306	0	GO:0004435	F	phosphatidylinositol phospholipase C activity	Danaus plexippus plexippus	Phosphoinositide phospholipase C	NA	NA
LOC101744785	Pass:	A0A8R2LW71	100	0	GO:0004523	F	RNA-DNA hybrid ribonuclease activity	Bombyx mori	RNase H type-1 domain-containing protein	NA	NA
CREB	Pass:	A0A194PDX1	87.931	0	GO:0003700	F	DNA-binding transcription factor activity	Papilio xuthus	Cyclic AMP-responsive element-binding protein 1	NA	NA
LOC101738172	Pass:	A0A2W1B3U7	88.301	0	GO:0008324	F	monoatomic cation transmembrane transporter activity	Helicoverpa armigera	Zinc transporter 1	NA	NA
LOC101738080	Fail:	A0A7E5VRL4	49.944	0	GO:0016020	C	membrane	Trichoplusia ni	receptor protein-tyrosine kinase	NA	NA
LOC101735676	Fail:	A0A6J2K8C5	36.91	0	GO:0005524	F	ATP binding	Bombyx mandarina	Twitchin isoform X10	NA	NA
LOC101740378	Pass:	A0A835GMW8	75.521	0	GO:0006260	P	DNA replication	Spodoptera exigua	DNA helicase	NA	NA
LOC101740344	Pass:	A0A7E5X4N6	75.952	0	GO:0005929	C	cilium	Trichoplusia ni	Clusterin-associated protein 1	NA	NA
LOC101746457	Fail:	A0A8S1AN55	78.125	6.55e-131	GO:0005634	C	nucleus	Arctia plantaginis	N-alpha-acetyltransferase 40	NA	NA
LOC101736543	Pass:	A0A8R2GBG9	85.075	0	GO:0003723	F	RNA binding	Bombyx mori	K Homology domain-containing protein	NA	NA
LOC101743773	Pass:	A0A8S1ATS2	80.996	0	GO:0016020	C	membrane	Arctia plantaginis	Ig-like domain-containing protein	NA	NA
LOC101743617	Fail:	A0A8J9UTW6	69.169	1.0299999999999998e-171	GO:0006355	P	regulation of DNA-templated transcription	Brenthis ino	Fork-head domain-containing protein	NA	NA
LOC101737562	Pass:	A0A8R2DJK8	100	0	GO:0008017	F	microtubule binding	Bombyx mori	Kinesin motor domain-containing protein	NA	NA
LOC101745529	Pass:	A0A8B8I3Q0	73.889	0	GO:0016020	C	membrane	Vanessa tameamea	UDP-N-acetylglucosamine transporter	NA	NA
FMO2	Pass:	A0A8S4S892	72.329	0	GO:0004497	F	monooxygenase activity	Pararge aegeria aegeria	Flavin-containing monooxygenase	NA	NA
LOC101740317	Pass:	A0A2H1WDE2	79.242	0	GO:0005886	C	plasma membrane	Spodoptera frugiperda	Hyccin	NA	NA
Hr3	Pass:	D2K8M6	91.048	0	GO:0030522	P	intracellular receptor signaling pathway	Xestia c-nigrum	Hormone receptor 3	NA	NA
LOC101738175	Pass:	A0A6J2K9U8	99.08	0	GO:0007010	P	cytoskeleton organization	Bombyx mandarina	Spectrin beta chain	NA	NA
LOC101745948	Pass:	A0A7E5WEZ9	86.596	0	GO:0016020	C	membrane	Trichoplusia ni	G-protein coupled receptors family 3 profile domain-containing protein	NA	NA
Gr67	Fail:	F8WPI1	57.434	9.47e-139	GO:0016020	C	membrane	Bombyx mori	Gustatory receptor	NA	NA
LOC101744687	Pass:	A0A7E5W651	85.049	0	GO:0005737	C	cytoplasm	Trichoplusia ni	Tubby-like protein	NA	NA
LOC101738397	Pass:	A0A8R2M7K7	97.374	0	GO:0016020	C	membrane	Bombyx mori	Ionotropic receptor 8a	NA	NA
LOC101745288	Pass:	A0A2W1BT62	87.924	0	GO:0007165	P	signal transduction	Helicoverpa armigera	Diacylglycerol kinase	NA	NA
LOC101741529	Pass:	A0A8S0ZA92	60.623	0	GO:0000166	F	nucleotide binding	Arctia plantaginis	mitogen-activated protein kinase	NA	NA
LOC101746214	Pass:	A0A6J2K526	99.242	0	GO:0016070	P	RNA metabolic process	Bombyx mandarina	C3H1-type domain-containing protein	NA	NA
LOC101735743	Pass:	A0A8R2R6D7	99.14	0	GO:0005262	F	calcium channel activity	Bombyx mori	Voltage-dependent L-type calcium channel subunit alpha	NA	NA
LOC110385666	Pass:	A0A8R2LZP4	100	0	GO:0016787	F	hydrolase activity	Bombyx mori	RNA-directed DNA polymerase	NA	NA
AK	Pass:	I4DIQ0	94.93	0	GO:0004054	F	arginine kinase activity	Papilio xuthus	arginine kinase	NA	NA
LOC101740057	Pass:	A0A6J2KPQ5	100	0	GO:0010212	P	response to ionizing radiation	Bombyx mandarina	BRISC and BRCA1-A complex member 2	NA	NA
LOC101743574	Pass:	A0A6J2J839	97.157	0	GO:0016020	C	membrane	Bombyx mandarina	Latrophilin Cirl	NA	NA
LOC101739740	Pass:	A0A212EX14	61.28	0	GO:0046872	F	metal ion binding	Danaus plexippus plexippus	DNA-(apurinic or apyrimidinic site) endonuclease	NA	NA
LOC101740562	Pass:	A0A194Q2T0	88.235	0	GO:0051539	F	4 iron, 4 sulfur cluster binding	Papilio xuthus	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	NA	NA
LOC101737337	Pass:	A0A1Y1CBW1	99.792	0	GO:0005216	F	monoatomic ion channel activity	Bombyx mori	pH-sensitive chloride channel 1 isoform 23	NA	NA
LOC101742560	Pass:	A0A8S1B1L5	94.032	0	GO:0001676	P	long-chain fatty acid metabolic process	Arctia plantaginis	Long-chain-fatty-acid--CoA ligase	NA	NA
LOC101745567	Pass:	A0A6J2J711	99.386	0	GO:0003743	F	translation initiation factor activity	Bombyx mandarina	Protein kinase domain-containing protein	NA	NA
